Brand (Manufacturer),row_number,product_id,Part Number,Extra Info/Notes,superseded
NULL,11,104,4D0837231K,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NO RETURNABLE.</strong></p>

<p>This is a one off product for a limited time only -<strong>&nbsp;while stocks last.</strong></p>


</body></html>",NULL
NULL,12,114,107905855CB,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON-RETURNABLE.</strong></p>

<p>This is a one off product for a limited time only -<strong> while stocks last.</strong></p>



<p>Vehicles:<br>
Audi A2 2000-2005<br>
Audi A3 1997-2003<br>
Audi A4 1995-2001<br>
Audi A6 1998-2005<br>
Audi A6 Allroad 2000-2005<br>
Audi A8 1994-2003<br>
Audi {RS4} 2000-2002<br>
Audi TT 1999-2002</p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p>&nbsp;</p></body></html>",NULL
NULL,13,116,107905855CB,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON-RETURNABLE.</strong></p>

<p>This is a one off product for a limited time only -<strong> while stocks last.</strong></p>



<p>Vehicles:</p></body></html>",NULL
NULL,14,117,107905855CB,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON-RETURNABLE.</strong></p>

<p>This is a one off product for a limited time only -<strong> while stocks last.</strong></p>



<p>Vehicles:</p></body></html>",NULL
NULL,15,118,6Y0898168E,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON RETURNABLE.</strong></p>

<p>This is a one off product for a limited time only -<strong> while stocks last.</strong></p>


</body></html>",NULL
NULL,16,121,,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON RETURNABLE.</strong></p>

<p>This is a one off product for a limited time only -<strong> while stocks last.</strong></p>


</body></html>",NULL
NULL,17,122,,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON RETURNABLE.</strong></p>

<p>This is a one off product for a limited time only -<strong> while stocks last.</strong></p>


</body></html>",NULL
NULL,18,123,,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON-RETURNABLE.</strong></p>

<p>This is a one off product for a limited time only -<strong> while stocks last.</strong></p>


</body></html>",NULL
NULL,19,124,,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON RETURNABLE.</strong></p>

<p>This is a one off product for a limited time only -<strong> while stocks last.</strong></p>


</body></html>",NULL
NULL,20,125,,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON-RETURNABLE.</strong></p>

<p>This is a one off product for a limited time only -<strong> while stocks last.</strong></p>


</body></html>",NULL
NULL,21,126,,"<html><head></head><body><p>Welcome to this Bargain Basement Product.</p>

<p><strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON RETURNABLE.</strong></p>

<p>This is a one off product for a limited time only -<strong>&nbsp;while stocks last.</strong></p>

<p>Aftermarket HU101 ignition barrel&nbsp;made to&nbsp;1 x HU101 without a transponder chip.</p>

<p>NOTE: If fitting a transponder chip it will need a {TP4} (T17).</p>



<p>Vehicles:<br>
Tested on Ford C-Max and Ford Focus 2006-2011<br>
Should work many others.</p>
</body></html>",NULL
NULL,22,127,,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON RETURNABLE.</strong></p>

<p>This is a one off product for a limited time only -<strong> while stocks last.</strong></p>


</body></html>",NULL
NULL,23,129,"AKK260,AKK260,HU100,HU100T,11C1","<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON-RETURNABLE.</strong></p>


</body></html>",NULL
NULL,24,130,"AKK51,AKK51,NE73AI,NE73AI,NE71CI","<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON-RETURNABLE.</strong></p>


</body></html>",NULL
NULL,25,133,"8060000QAD,8060000QAG","<html><head></head><body><p>Welcome to this Bargain Basement Product.</p>

<p><strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON-RETURNABLE.</strong></p>

<p>This is a one off product for a limited time only -<strong> while stocks last.</strong></p>

<p>A OEM NE72/NE73 driver's (right side) door lock and sliding door lock which is unassembled and&nbsp;ready to be made to any key. You will 3 of each waffer and 6 springs to build to your key.</p>



<p>Vehicles:<br>
Nissan Primastar<br>
Renault Trafic 2004-2013<br>
Vauxhall Vivaro 2005-2013</p>
</body></html>",NULL
NULL,26,134,"9170Y8,9170Z0,9170Y6,9170Z0,690510H010,690510H010,C1","<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON RETURNABLE.</strong></p>

<p>This is a one off product for a limited time only -<strong> while stocks last.</strong></p>


</body></html>",NULL
NULL,27,135,,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON RETURNABLE.</strong></p>

<p>This is a one off product for a limited time only -<strong> while stocks last.</strong></p>


</body></html>",NULL
NULL,28,138,107905855CF,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON-RETURNABLE.</strong></p>

<p>This is a one off product for a limited time only -<strong> while stocks last.</strong></p>



<p>Vehicles:<br>
Audi A1 2011- onwards<br>
Audi A2 2000-2005<br>
Audi A3 2004-2009<br>
Audi A4 2001-2008<br>
Audi A4 Cab 2003-2009<br>
Audi A6 2002-2005<br>
Audi Q3 2012-Onwards<br>
Audi R8 2007-Onwards<br>
Audi {RS3} 2011-Onwards<br>
Audi {RS4} 2006-2008<br>
Audi {RS6} 2003-2005<br>
Audi TT 2003-2011<br>
Audi TTRS 2010-Onwards<br>
Seat Alhambra 2011-Onwards<br>
Seat Altea 2007-Onwards<br>
Seat Exeo 2009-Onwards<br>
Seat Ibiza 2006-Onwards<br>
Seat Mii 2012-Onwards<br>
Seat Toledo 2005 - 2009<br>
Superb 2002-2008<br>
Volkswagen Amarok 2010-2012<br>
Volkswagen Beetle 2002-Onwards<br>
Volkswagen Caddy 2004-2011<br>
Volkswagen Eos 2006-2011<br>
Volkswagen Fox 2005-2012<br>
Volkswagen Golf 2004-Onwards<br>
Volkswagen Golf Plus 2005-Onwards<br>
Volkswagen Jetta 2006-Onwards<br>
Volkswagen Passat 2003-2005<br>
Volkswagen Polo 2002 - 2011<br>
Volkswagen Scirocco 2009-Onwards<br>
Volkswagen Sharan 2011 - Onwards<br>
Volkswagen Tiguan 2008 - Onwards<br>
Volkswagen Touran 2003-Onwards<br>
Volkswagen Transporter 2003 - Onwards<br>
Volkswagen Up! 2012-Onwards</p></body></html>",NULL
NULL,29,141,107827565K,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON RETURNABLE.</strong></p>

<p>This is a one off product for a limited time only -<strong> while stocks last.</strong></p>


</body></html>",NULL
NULL,30,159,"D723051ZB,FO19P,FO20P,V1","<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON RETURNABLE.<br>
<br>
NOTE: ONLY 1 AVAILABLE LEFT.</strong></p>

<p>This is a one off product for a limited time only -<strong>&nbsp;while stocks last.</strong></p>



<p>The parts are brand new but, due to being on the shelf for a long period, there are slight&nbsp;signs of this.<br>
The box has also been opened to take a picture.</p></body></html>",NULL
NULL,31,166,1K4839167,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON-RETURNABLE.<br>
<br>
NOTE: BRAND NEW GENUINE PART.</strong></p>

<p>This is a one off product for a limited time only -<strong> while stocks last.</strong></p>

<p>A brand new, genuine,&nbsp;Volkswagen delocking cap in primer suitable for passenger (N/S) door handles without&nbsp;locks.</p>







<p>Vehicles:<br>
VW Bora 1999-2001<br>
VW Fox 2005 - 2012<br>
VW Golf 1998 - 2009<br>
VW Lupo 1999 - 2006<br>
VW Passat 1997 - 2005<br>
VW Polo 2002 -2010<br>
Seat Altea 2004 -2014<br>
Seat Arosa 1997 - 2004<br>
Seat Cordoba 2003 - 2009<br>
Seat Ibiza 2002 - 2010<br>
Seat Toledo 2005 - 2009</p>

<p>&nbsp;</p>

<p>&nbsp;</p></body></html>",NULL
NULL,32,167,1K4839167,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON-RETURNABLE.<br>
<br>
NOTE: BRAND NEW GENUINE PART.</strong></p>

<p>This is a one off product for a limited time only -<strong> while stocks last.</strong></p>

<p>A brand new, genuine, Volkswagen delocking cap in&nbsp;satin black&nbsp;suitable for passenger (N/S) door handles without locks.</p>







<p>Vehicles:<br>
VW Bora 1999-2001<br>
VW Fox 2005 - 2012<br>
VW Golf 1998 - 2009<br>
VW Lupo 1999 - 2006<br>
VW Passat 1997 - 2005<br>
VW Polo 2002 -2010<br>
Seat Altea 2004 -2014<br>
Seat Arosa 1997 - 2004<br>
Seat Cordoba 2003 - 2009<br>
Seat Ibiza 2002 - 2010<br>
Seat Toledo 2005 - 2009</p>

<p>&nbsp;</p>

<p>&nbsp;</p></body></html>",NULL
NULL,33,168,3B0839879,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON-RETURNABLE.<br>
<br>
NOTE: BRAND NEW GENUINE PART.</strong></p>

<p>This is a one off product for a limited time only -<strong> while stocks last.</strong></p>

<p>A brand new, genuine, Volkswagen lock cap in primer suitable for&nbsp;driver's (O/S) door handles with locks.</p>





<p>Vehicles:<br>
VW Bora 1999-2001<br>
VW Fox 2005 - 2012<br>
VW Golf 1998 - 2009<br>
VW Lupo 1999 - 2006<br>
VW Passat 1997 - 2005<br>
VW Polo 2002 -2010<br>
Seat Altea 2004 -2014<br>
Seat Arosa 1997 - 2004<br>
Seat Cordoba 2003 - 2009<br>
Seat Ibiza 2002 - 2010<br>
Seat Toledo 2005 - 2009<br>
Skoda Fabia 2000 - 2014<br>
Skoda Octavia 1997 - 2014<br>
Skoda Roomster 2006 - 2014</p>

<p>&nbsp;</p></body></html>",NULL
NULL,34,169,3B0839879,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON-RETURNABLE.<br>
<br>
NOTE: BRAND NEW GENUINE PART.</strong></p>

<p>This is a one off product for a limited time only -<strong> while stocks last.</strong></p>

<p>A brand new, genuine, Volkswagen lock cap in&nbsp;satin black&nbsp;suitable for driver's (O/S) door handles with locks.</p>





<p>Vehicles:<br>
VW Bora 1999-2001<br>
VW Fox 2005 - 2012<br>
VW Golf 1998 - 2009<br>
VW Lupo 1999 - 2006<br>
VW Passat 1997 - 2005<br>
VW Polo 2002 -2010<br>
Seat Altea 2004 -2014<br>
Seat Arosa 1997 - 2004<br>
Seat Cordoba 2003 - 2009<br>
Seat Ibiza 2002 - 2010<br>
Seat Toledo 2005 - 2009<br>
Skoda Fabia 2000 - 2014<br>
Skoda Octavia 1997 - 2014<br>
Skoda Roomster 2006 - 2014</p>

<p>&nbsp;</p></body></html>",NULL
NULL,35,170,D902130ZR,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON RETURNABLE.</strong></p>

<p>This is a one off product for a limited time only -<strong>&nbsp;while stocks last.</strong></p>


</body></html>",NULL
NULL,36,174,,"<html><head></head><body><p>Welcome to this Bargain Basement Product</p>

<p><strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON-RETURNABLE</strong></p>

<p>This is a one-off product for a limited time only -<strong> while stocks last</strong></p>

<p>Brand New Vauxhall/Opel 2 Button CAN Non-Flip Remote with ID46 Manchester Transponder Chip. Lock and Unlock Buttons</p>

<p>Frequency: 433Mhz</p>

<p>OEM Vauxhall circuit board in aftermarket remote case with blank back</p>

<p>Comes fitted with HU100 key blade</p>

<p>For key cutting see {CUT2}<br>
For battery see {CR2032}</p>

<p>Programming:<br>
Immobiliser: Diagnostically<br>
Remote: Automatically with immobiliser</p>



<p>NOTE:<br>
WORKS CHASSIS NUMBERS AS FOLLOWS:<br>
AFTER/FROM C1000001<br>
B3000001<br>
BS000001<br>
BG000001</p>
</body></html>",NULL
NULL,37,177,3B0962103A,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON-RETURNABLE.<br>
<br>
NOTE: BRAND NEW GENUINE PART.</strong></p>

<p>This is a one off product for a limited time only -<strong> while stocks last.</strong></p>

<p>A brand new, genuine, Volkswagen microswitch cable and plug.</p>



<p>Vehicles:<br>
Volkswagen Passat 2001-2005</p></body></html>",NULL
NULL,38,179,,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON-RETURNABLE.<br>
<br>
NOTE: BRAND NEW GENUINE PART.</strong></p>

<p>This is a one off product for a limited time only -<strong> while stocks last.</strong></p>

<p>A brand new, genuine, Renault/Vauxhall Trafic/Vivaro.</p>



<p>Vehicles:<br>
Nissan Interstar 1999-2010<br>
Nissan Primastar 2004-2014<br>
Renault Master 1999-2010<br>
Renault Trafic&nbsp;2004-2014<br>
Vauxhall Movano 1999-2010<br>
Vauxhall Vivaro 2002-2014</p></body></html>",NULL
NULL,39,188,3C5800375EL,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON RETURNABLE.</strong></p>



<p>Vehicles:<br>
Volkswagen Passat (3C) 2005-2013</p>
</body></html>",NULL
NULL,40,189,,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON RETURNABLE.</strong></p>



<p>Vehicles:<br>
Volkswagen Passat (3C) 2005-2013</p>
</body></html>",NULL
Bmw,41,195,,<html><head></head><body></body></html>,NULL
Mg,42,195,,<html><head></head><body></body></html>,NULL
NULL,43,209,HVRM87,"<html><head></head><body><p>Aftermarket&nbsp;BMW CAS3+ Smart/Proximity/Dash&nbsp;Remote&nbsp;with ID46 PCF7945 Transponder chip and Emergency HU92R Key Blade. Lock, Unlock and&nbsp;Boot Buttons</p>

<p>Frequency: 868Mhz</p>

<p><em>NOTE:<br>
Emergency Key blade can be&nbsp;loose to fit into OEM remotes</em></p>

<p><em>NOTE:<br>
Remote case is not glued together like OEM remote</em></p>

<p><em>NOTE:<br>
Battery is interchangable on this remote unlike the OEM remote being a rechargable type</em></p>

<p><em>NOTE:<br>
Some cars in the past have shown 'recharging remote battery fault' on the car. This sometimes can be a fault with the car or the car not liking an aftermarket remote</em></p>

<p>Comes fitted with a HU92R aftermarket emergency key blade</p>

<p>For key cutting see {CUT2}<br>
For battery see {CR2032}</p>

<p>Programming:<br>
Immobiliser: Diagnostically<br>
Remote: Automatically with immobiliser</p>

</body></html>",NULL
NULL,44,211,,"<html><head></head><body><p>KeyDIY Made&nbsp;Mini 3 Button Made to a Flip Remote with&nbsp;a PCF7935&nbsp;({TP49})&nbsp;Transponder Chip Ready for EEPROM Work. Lock, Unlock and Boot Buttons</p>

<p><strong><em>NOTE: Remote is made from KeyDIY equipment ({DIYR9})</em></strong></p>

<p>Frequency: 433Mhz</p>

<p>Comes fitted with&nbsp;HU92R key blade ({DIYB29})</p>

<p>For key cutting see: {CUT2}<br>
For replacement pin see: {VXRP2}<br>
For batteries see {CR2032}</p>

<p>Programming:<br>
Immobiliser: Diagnostically<br>
Remote: Manually</p>

<p><strong><em>NOTE:<br>
With programming remote you must press unlock and then lock 10 times whilst in programming mode to code in</em></strong></p>

<p><strong><em>NOTE:<br>
Transponder chip will need to be programmed via EPPROM work with EWS unit</em></strong></p>



</body></html>",NULL
NULL,45,212,"L25403,HVRM86","<html><head></head><body><p>Aftermarket&nbsp;BMW CAS Dash&nbsp;Remote&nbsp;with ID46 PCF7945 transponder chip and emergency HU92R key blade without logo. Lock, Unlock and&nbsp;Boot Buttons</p>

<p>Frequency: 868Mhz</p>

<p><em>NOTE:<br>
Emergency Key blade can be&nbsp;loose to fit into OEM remotes</em></p>

<p><em>NOTE:<br>
Remote case is not glued together like OEM remote</em></p>

<p><em>NOTE:<br>
Battery is interchangable on this remote unlike the OEM remote being a rechargable type</em></p>

<p><em>NOTE:<br>
Some cars in the past have shown 'recharging remote battery fault' on the car. This sometimes can be a fault with the car or the car not liking an aftermarket remote</em></p>

<p>Comes fitted with a HU92R&nbsp;aftermarket emergency key blade</p>

<p>For key cutting see {CUT2}<br>
For battery see {CR2032}</p>

<p>Programming:<br>
Immobiliser: Diagnostically<br>
Remote: Automatically with immobiliser</p>

</body></html>",NULL
Bmw,46,217,,<html><head></head><body></body></html>,NULL
NULL,47,221,,"<html><head></head><body><p>KeyDIY made&nbsp;BMW 3 Button Made to a Flip Remote with&nbsp;a PCF7935&nbsp;({TP49})&nbsp;Transponder Chip Ready for EEPROM work. Lock, Unlock and Boot Buttons</p>

<p><em><strong>NOTE: Remote type used is water resistant and high quality ({DIYR14})</strong></em></p>

<p><em><strong>NOTE: This remote will not work with the Mini due to remote head to large for locks</strong></em></p>

<p><strong><em>NOTE: Remote is made from KeyDIY equipment</em></strong></p>

<p>Frequency: 433Mhz.</p>

<p>Comes fitted with&nbsp;HU92R key blade ({DIYB29})</p>

<p>For key cutting see: {CUT2}</p>

<p>For batteries see {CR2032}</p>

<p>Programming:<br>
Immobiliser: Diagnostically<br>
Remote: Manually</p>

<p><strong><em>NOTE:<br>
With programming remote you must press unlock and then lock 10 times whilst in programming mode to code in</em></strong></p>

<p><strong><em>NOTE:<br>
Transponder chip will need to be programmed via EPPROM work with EWS unit</em></strong></p>



</body></html>",NULL
NULL,48,230,"05018869AA,TP34,05102247AA,05102247AB,TP13,TP34,TP00CHR,TP00CHR15P,TP00CHR,TP00CHR15,CY24TE","<html><head></head><body><p>Key Case only</p>

<p>For key cutting see {CUT1}</p>


</body></html>",NULL
Chrysler,49,233,,NULL,NULL
NULL,50,234,K68060256AA,"<html><head></head><body><p>OEM&nbsp;Chrysler 2 Button Remote. Lock and Unlock Button.</p>

<p>Frequency: 433Mhz<br>
<br>
Writing on the case:<br>
SiemansVDO<br>
P/N: 04589055AB<br>
CLBT/C/32X/200X<br>
or<br>
Continental<br>
P/N 68060256AA<br>
CLBT/C/326/2002</p>


</body></html>",NULL
Chrysler,51,235,04671642AB,"<html><head></head><body><p>OEM&nbsp;Chrysler 2 Button Separate Remote.<br>
Lock and Unlock Buttons</p>

<p>Frequency: 433Mhz</p>

<p>Writing on Case:<br>
P/N 04671642 AB<br>
TRW</p>

<p>For batteries see {CR2016} x 2</p>

<p>Programming:<br>
Remote: Diagnostically</p>



</body></html>",NULL
NULL,52,236,05179516AA,"<html><head></head><body><p>OEM&nbsp;Chrysler&nbsp;2 Button Remote Key with PCF7941 ID46 Transponder chip and Chrysler logo. Lock and Unlock&nbsp;Button</p>

<p>Frequency: 433Mhz</p>

<p>Remote Print:<br>
CE0888<br>
P/N 05179516AA</p>

<p>Comes fitted with CHR-15 (JMA) key blade</p>

<p>For batteries See {CR2032}.</p>

<p>Programming:<br>
Immobiliser: Diagnostically<br>
Remote: Automatically with immobiliser</p>


</body></html>",NULL
NULL,53,237,68060264AA,"<html><head></head><body><p>OEM&nbsp;Chrysler&nbsp;5 Button Remote. Lock, Unlock, Boot, Left&nbsp;Sliding Door&nbsp;and Right Sliding Door&nbsp;Button</p>

<p>Frequency: 433Mhz</p>

<p>Remote Print:<br>
Continental<br>
P/N 68060264AA</p>

<p>For batteries See {CR2032}</p>

<p>Programming:<br>
Remote: Diagnostically<br>
<br>
<em>NOTE:<br>
We have only found Dealer level equipment or the SKP-900 will code along with immobiliser code.</em></p>

</body></html>",NULL
NULL,54,238,68060264AA,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON-RETURNABLE.</strong></p>

<p>This is a one-off product for a limited time only -<strong>&nbsp;while stocks last.</strong></p>

<p>A brand new, genuine&nbsp;Chrysler 5&nbsp;button remote.</p>





<p>Vehicles:<br>
Chrysler Grand Voyager&nbsp;2005-2009 (with electronic sliding doors)</p></body></html>",NULL
NULL,55,239,56046715AD,"<html><head></head><body><p>Aftermarket&nbsp;Chrysler Electronic&nbsp;Ignition&nbsp;Remote&nbsp;with ID46 PCF7941 transponder chip&nbsp;without logo. Lock and&nbsp;Unlock Buttons</p>

<p>Frequency:433Mhz</p>

<p>Supplied with CY24 (Silca) / CHR-15 (JMA) Emergency Key blade</p>

<p>For battery see {CR2032}</p>

<p>Programming:<br>
Immobiliser: Diagnostically<br>
Remote: Automatically with immobiliser</p>


</body></html>",NULL
Chrysler,56,240,,<html><head></head><body></body></html>,NULL
Chrysler,57,241,,<html><head></head><body></body></html>,NULL
NULL,58,242,,"<html><head></head><body><p>Welcome to this Bargain Basement Product.<br>
<br>
<strong>NOTE: ALL BARGAIN BASEMENT PRODUCTS ARE NON-RETURNABLE.</strong></p>

<p>This is a one-off product for a limited time only -<strong>&nbsp;while stocks last.</strong></p>

<p>A brand new, genuine&nbsp;Chrysler&nbsp;2&nbsp;button remote.</p>





<p>Vehicles:<br>
Chrysler Grand Voyager&nbsp;1997-1999</p></body></html>",NULL
Chrysler,59,243,,NULL,NULL
NULL,60,244,"05179515AA,05179515AB","<html><head></head><body><p>OEM&nbsp;Chrysler&nbsp;3 Button Remote Key with PCF7941 ID46 Transponder chip and Chrysler logo. Lock, Unlock&nbsp;and Boot Buttons</p>

<p>Frequency: 433Mhz</p>

<p>Remote Print:<br>
CE0888<br>
P/N 05179515AA</p>

<p>Comes fitted with CHR-15 (JMA) key blade</p>

<p>For batteries See {CR2032}</p>

<p>Programming:<br>
Immobiliser: Diagnostically<br>
Remote: Automatically with immobiliser</p>

</body></html>",NULL
Chrysler,61,245,,NULL,NULL
Chrysler,62,246,,NULL,NULL
Chrysler,63,247,,NULL,NULL
Chrysler,64,248,,NULL,NULL
Chrysler,65,249,,NULL,NULL
Chrysler,66,250,,NULL,NULL
Chrysler,67,251,,NULL,NULL
Chrysler,68,252,,<html><head></head><body></body></html>,NULL
Jeep,69,252,,<html><head></head><body></body></html>,NULL
NULL,70,294,"9170T6,AKK13,AKK13,AKK13","<html><head></head><body><p>GTL VA2 Remote Key Blade</p>

<p>For key cutting see {CUT2}</p>


</body></html>",NULL
NULL,71,295,9170G6,"<html><head></head><body><p>OEM&nbsp;Citroen SX9 Pencil Blade for RF Remotes</p>

<p>Comes fitted with SX9 key blade</p>

<p>For key cutting see {CUT3}</p>


</body></html>",NULL
Citroen,72,296,,<html><head></head><body></body></html>,NULL
Peugeot,73,296,,<html><head></head><body></body></html>,NULL
Citroen,74,297,,<html><head></head><body></body></html>,NULL
Peugeot,75,298,,<html><head></head><body></body></html>,NULL
Fiat,76,298,,<html><head></head><body></body></html>,NULL
Citroen,77,298,,<html><head></head><body></body></html>,NULL
NULL,78,299,NWKS206,"<html><head></head><body><p>OEM&nbsp;PSA Proximity Key Blade</p>

<p>Comes fitted with VA2 key blade</p>

<p>For key cutting see {CUT2}</p>



</body></html>",NULL
NULL,79,300,,"<html><head></head><body><p>OEM&nbsp;Smart HU83 Blade</p>

<p>Comes fitted with HU83 key blade.</p>

<p>For key cutting see {CUT2}</p>



<p>&nbsp;</p>

</body></html>",NULL
